2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,2012
Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²),Weather Normalized Site EUI (kBtu/ft²)
National Median Site EUI (kBtu/ft²),National Median Site EUI (kBtu/ft²),National Median Site EUI (kBtu/ft²),National Median Site EUI (kBtu/ft²),National Median Site EUI (kBtu/ft²),National Median Site EUI (kBtu/ft²),National Median Site EUI (kBtu/ft²),National Median Site EUI (kBtu/ft²),National Median Site EUI (kBtu/ft²),National Median Site EUI (kBtu/ft²),National Median Site EUI (kBtu/ft²)
Site Energy Use (kBtu),Site Energy Use (kBtu),Site Energy Use (kBtu),Site Energy Use (kBtu),Site Energy Use (kBtu),Site Energy Use (kBtu),Site Energy Use (kBtu),Site Energy Use (kBtu),Site Energy Use (kBtu),Site Energy Use (kBtu),Site Energy Use (kBtu)
Weather Normalized Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu),Weather Normalized Site Energy Use (kBtu)
Electricity - Weather Normalized Site Electricity Use (Grid and Onsite Renewables) (kWh),Weather Normalized Site Electricity (kWh),Weather Normalized Site Electricity (kWh),Weather Normalized Site Electricity (kWh),Weather Normalized Site Electricity (kWh),Weather Normalized Site Electricity (kWh),Weather Normalized Site Electricity (kWh),Weather Normalized Site Electricity (kWh),Weather Normalized Site Electricity (kWh),Weather Normalized Site Electricity (kWh),Weather Normalized Site Electricity (kWh)
Electricity - Weather Normalized Site Electricity Intensity (Grid and Onsite Renewables) (kWh/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²),Weather Normalized Site Electricity Intensity (kWh/ft²)
Natural Gas - Weather Normalized Site Natural Gas Use (therms),Weather Normalized Site Natural Gas Use (therms),Weather Normalized Site Natural Gas Use (therms),Weather Normalized Site Natural Gas Use (therms),Weather Normalized Site Natural Gas Use (therms),Weather Normalized Site Natural Gas Use (therms),Weather Normalized Site Natural Gas Use (therms),Weather Normalized Site Natural Gas Use (therms),Weather Normalized Site Natural Gas Use (therms),Weather Normalized Site Natural Gas Use (therms),Weather Normalized Site Natural Gas Use (therms)
Natural Gas - Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²),Weather Normalized Site Natural Gas Intensity (therms/ft²)
Source EUI (kBtu/ft²),Source EUI (kBtu/ft²),Source EUI (kBtu/ft²),Source EUI (kBtu/ft²),Source EUI (kBtu/ft²),Source EUI (kBtu/ft²),Source EUI (kBtu/ft²),Source EUI (kBtu/ft²),Source EUI (kBtu/ft²),Source EUI (kBtu/ft²),Source EUI (kBtu/ft²)
Weather Normalized Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²),Weather Normalized Source EUI (kBtu/ft²)
National Median Source EUI (kBtu/ft²),National Median Source EUI (kBtu/ft²),National Median Source EUI (kBtu/ft²),National Median Source EUI (kBtu/ft²),National Median Source EUI (kBtu/ft²),National Median Source EUI (kBtu/ft²),National Median Source EUI (kBtu/ft²),National Median Source EUI (kBtu/ft²),National Median Source EUI (kBtu/ft²),National Median Source EUI (kBtu/ft²),National Median Source EUI (kBtu/ft²)
Source Energy Use (kBtu),Source Energy Use (kBtu),Source Energy Use (kBtu),Source Energy Use (kBtu),Source Energy Use (kBtu),Source Energy Use (kBtu),Source Energy Use (kBtu),Source Energy Use (kBtu),Source Energy Use (kBtu),Source Energy Use (kBtu),Source Energy Use (kBtu)
Weather Normalized Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu),Weather Normalized Source Energy Use (kBtu)
Fuel Oil #1 Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #1 Use (kBtu),Fuel Oil #1 Use (kBtu)
Fuel Oil #2 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #2 Use (kBtu),Fuel Oil #2 Use (kBtu)
Fuel Oil #4 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #4 Use (kBtu),Fuel Oil #4 Use (kBtu)
Fuel Oil #5 & 6 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu),Fuel Oil #5 & 6 Use (kBtu)
Diesel #2 Use (kBtu),Diesel #2 Use (kBtu),Diesel #2 Use (kBtu),Diesel #2 Use (kBtu),Diesel #2 Use (kBtu),Diesel #2 Use (kBtu),Diesel #2 Use (kBtu),Diesel #2 Use (kBtu),Diesel #2 Use (kBtu),Diesel #2 Use (kBtu),Diesel #2 Use (kBtu)
Propane Use (kBtu),Propane Use (kBtu),Propane Use (kBtu),Propane Use (kBtu),Propane Use (kBtu),Propane Use (kBtu),Propane Use (kBtu),Propane Use (kBtu),Propane Use (kBtu),Propane Use (kBtu),Propane Use (kBtu)
Kerosene Use (kBtu),Kerosene Use (kBtu),Kerosene Use (kBtu),Kerosene Use (kBtu),Kerosene Use (kBtu),Kerosene Use (kBtu),Kerosene Use (kBtu),Kerosene Use (kBtu),Kerosene Use (kBtu),Kerosene Use (kBtu),Kerosene Use (kBtu)
District Steam Use (kBtu),District Steam Use (kBtu),District Steam Use (kBtu),District Steam Use (kBtu),District Steam Use (kBtu),District Steam Use (kBtu),District Steam Use (kBtu),District Steam Use (kBtu),District Steam Use (kBtu),District Steam Use (kBtu),District Steam Use (kBtu)
District Hot Water Use (kBtu),District Hot Water Use (kBtu),District Hot Water Use (kBtu),District Hot Water Use (kBtu),District Hot Water Use (kBtu),District Hot Water Use (kBtu),District Hot Water Use (kBtu),District Hot Water Use (kBtu),District Hot Water Use (kBtu),District Hot Water Use (kBtu),District Hot Water Use (kBtu)
District Chilled Water Use (kBtu),District Chilled Water Use (kBtu),District Chilled Water Use (kBtu),District Chilled Water Use (kBtu),District Chilled Water Use (kBtu),District Chilled Water Use (kBtu),District Chilled Water Use (kBtu),District Chilled Water Use (kBtu),District Chilled Water Use (kBtu),District Chilled Water Use (kBtu),District Chilled Water Use (kBtu)
Natural Gas Use (kBtu),Natural Gas Use (kBtu),Natural Gas Use (kBtu),Natural Gas Use (kBtu),Natural Gas Use (kBtu),Natural Gas Use (kBtu),Natural Gas Use (kBtu),Natural Gas Use (kBtu),Natural Gas Use (kBtu),Natural Gas Use (kBtu),Natural Gas Use (kBtu)
Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kBtu),Electricity Use - Grid Purchase (kBtu)
